"Player","Team","FOW","FOA","FO%"
"Logan Morrison","HAM","17","29","58.6"
"Ryan Winterton","HAM","9","11","81.8"
"Giordano Biondi","HAM","1","1","100.0"
"Emmett Sproule","PBO","1","3","33.3"
"Mason McTavish","HAM","21","27","77.8"
"Tucker Robertson","PBO","18","43","41.9"
"J.R. Avon","PBO","10","32","31.3"
"Jax Dubois","PBO","13","40","32.5"
"Jan Mysak","HAM","15","27","55.6"
"Sam Alfano","PBO","1","1","100.0"
"Mark Duarte","HAM","1","3","33.3"
"Ryan Humphrey","HAM","3","4","75.0"
"Jonathan Melee","PBO","4","7","57.1"
"Quinton Pagé","PBO","2","3","66.7"
"Lawson Sherk","HAM","12","25","48.0"
"Chase Stillman","PBO","1","2","50.0"
"Patrick Thomas","HAM","3","6","50.0"
"Kaspars Ziemins","PBO","1","2","50.0"
